group,field_name,data_key,value,source,last_updated,restatement,row_id,row_type,company_id,company_url,top_tab,subtab,page_url,error,company_name
,Scope 1 Emissions,,,,,,,item,19415,https://nzdpu.com/companies/19415?historicalTab=OVERVIEW,EMISSIONS,SCOPE 1 EMISSIONS,https://nzdpu.com/companies/19415?dataProvider=CDP,,"Adastria Co., Ltd."
Total Scope 1 Emissions,Total Scope 1 Emissions,,,,,,row-details-scope_1_total_emissions_group,group,19415,https://nzdpu.com/companies/19415?historicalTab=OVERVIEW,EMISSIONS,SCOPE 1 EMISSIONS,https://nzdpu.com/companies/19415?dataProvider=CDP,,"Adastria Co., Ltd."
Total Scope 1 Emissions,Total Scope 1 GHG emissions in tCO₂e,total_s1_emissions_ghg,880.144 tCO₂e,CDP Climate Change 2023,2023-07-26,,row-details-total_s1_emissions_ghg,item,19415,https://nzdpu.com/companies/19415?historicalTab=OVERVIEW,EMISSIONS,SCOPE 1 EMISSIONS,https://nzdpu.com/companies/19415?dataProvider=CDP,,"Adastria Co., Ltd."
Methodology,Methodology,,,,,,row-details-scope_1_methodology_group,group,19415,https://nzdpu.com/companies/19415?historicalTab=OVERVIEW,EMISSIONS,SCOPE 1 EMISSIONS,https://nzdpu.com/companies/19415?dataProvider=CDP,,"Adastria Co., Ltd."
Methodology,Methodology used to calculate Scope 1 GHG emissions,s1_emissions_method,"Japan Ministry of the Environment, Law Concerning the Promotion of the Measures to Cope with Global Warming, Superseded by Revision of the Act on Promotion of Global Warming Countermeasures (2005 Amendment), The Greenhouse Gas Protocol: A Corporate Accounting and Reporting Standard (Revised Edition)",CDP Climate Change 2023,2023-07-26,,row-details-s1_emissions_method,item,19415,https://nzdpu.com/companies/19415?historicalTab=OVERVIEW,EMISSIONS,SCOPE 1 EMISSIONS,https://nzdpu.com/companies/19415?dataProvider=CDP,,"Adastria Co., Ltd."
Exclusions,Exclusions,,,,,,row-details-scope_1_exclusions_group,group,19415,https://nzdpu.com/companies/19415?historicalTab=OVERVIEW,EMISSIONS,SCOPE 1 EMISSIONS,https://nzdpu.com/companies/19415?dataProvider=CDP,,"Adastria Co., Ltd."
Exclusions,Scope 1 GHG emissions sources excluded from inventory,disclose_s1_emissions_exclusion,No,CDP Climate Change 2023,2023-07-26,,row-details-disclose_s1_emissions_exclusion,item,19415,https://nzdpu.com/companies/19415?historicalTab=OVERVIEW,EMISSIONS,SCOPE 1 EMISSIONS,https://nzdpu.com/companies/19415?dataProvider=CDP,,"Adastria Co., Ltd."
Exclusion 1,Exclusion 1,,,,,,row-details-s1_emissions_exclusion_dict.{::0},group,19415,https://nzdpu.com/companies/19415?historicalTab=OVERVIEW,EMISSIONS,SCOPE 1 EMISSIONS,https://nzdpu.com/companies/19415?dataProvider=CDP,,"Adastria Co., Ltd."
Change in emissions calculation or reporting boundary,Change in emissions calculation or reporting boundary,,,,,,row-details-scope_1_change_type_group,group,19415,https://nzdpu.com/companies/19415?historicalTab=OVERVIEW,EMISSIONS,SCOPE 1 EMISSIONS,https://nzdpu.com/companies/19415?dataProvider=CDP,,"Adastria Co., Ltd."
Change in emissions calculation or reporting boundary,Change in Scope 1 GHG emissions calculation or reporting boundary,disclose_s1_emissions_change_type,No,CDP Climate Change 2023,2023-07-26,,row-details-disclose_s1_emissions_change_type,item,19415,https://nzdpu.com/companies/19415?historicalTab=OVERVIEW,EMISSIONS,SCOPE 1 EMISSIONS,https://nzdpu.com/companies/19415?dataProvider=CDP,,"Adastria Co., Ltd."
