company_name,reporting_year,data_provider,jurisdiction,sics_sector,total_s1_emissions_ghg,company_url
"Adastria Co., Ltd.",2023,CDP,Japan,Consumer Goods,880.144 tCO₂e,https://nzdpu.com/companies/19415?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Aeon Co., Ltd.",2023,CDP,Japan,Consumer Goods,"204,020 tCO₂e",https://nzdpu.com/companies/11558?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Ajinomoto Co., Inc.",2023,CDP,Japan,Food & Beverage,"973,780 tCO₂e",https://nzdpu.com/companies/11590?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Askul Corporation,2023,CDP,Japan,Consumer Goods,"2,740 tCO₂e",https://nzdpu.com/companies/11709?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Bandai Namco Holdings Inc.,2023,CDP,Japan,Consumer Goods,"6,131 tCO₂e",https://nzdpu.com/companies/11776?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Bic Camera Inc,2023,CDP,Japan,Consumer Goods,"4,306 tCO₂e",https://nzdpu.com/companies/11827?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"BULL-DOG SAUCE CO.,LTD.",2023,CDP,Japan,Food & Beverage,"3,038 tCO₂e",https://nzdpu.com/companies/24490?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Bunka Shutter Co.,Ltd.",2023,CDP,Japan,Consumer Goods,"15,424.84 tCO₂e",https://nzdpu.com/companies/21124?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Calbee Inc.,2023,CDP,Japan,Food & Beverage,"127,514 tCO₂e",https://nzdpu.com/companies/15786?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Citizen Watch Co.,Ltd.",2023,CDP,Japan,Consumer Goods,"19,571 tCO₂e",https://nzdpu.com/companies/14365?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
DAIKEN CORPORATION,2023,CDP,Japan,Consumer Goods,"69,973 tCO₂e",https://nzdpu.com/companies/12114?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Descente Ltd,2023,CDP,Japan,Consumer Goods,132 tCO₂e,https://nzdpu.com/companies/23448?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Dynic,2023,CDP,Japan,Consumer Goods,"14,453 tCO₂e",https://nzdpu.com/companies/24305?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Fancl Corporation,2023,CDP,Japan,Consumer Goods,"3,426 tCO₂e",https://nzdpu.com/companies/16038?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"FRANCE BED HOLDINGS CO.,LTD.",2023,CDP,Japan,Consumer Goods,"5,558 tCO₂e",https://nzdpu.com/companies/21181?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
