company_name,reporting_year,data_provider,jurisdiction,sics_sector,total_s2_lb_emissions_ghg,total_s2_mb_emissions_ghg,company_url
"Adastria Co., Ltd.",2023,CDP,Japan,Consumer Goods,"42,388.905 tCO₂e","41,534.728 tCO₂e",https://nzdpu.com/companies/19415?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Aeon Co., Ltd.",2023,CDP,Japan,Consumer Goods,"2,721,570 tCO₂e",,https://nzdpu.com/companies/11558?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Ajinomoto Co., Inc.",2023,CDP,Japan,Food & Beverage,"620,751 tCO₂e","611,712 tCO₂e",https://nzdpu.com/companies/11590?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Askul Corporation,2023,CDP,Japan,Consumer Goods,"23,453 tCO₂e","9,012 tCO₂e",https://nzdpu.com/companies/11709?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Bandai Namco Holdings Inc.,2023,CDP,Japan,Consumer Goods,,"49,256 tCO₂e",https://nzdpu.com/companies/11776?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Bic Camera Inc,2023,CDP,Japan,Consumer Goods,"82,079 tCO₂e","79,621 tCO₂e",https://nzdpu.com/companies/11827?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"BULL-DOG SAUCE CO.,LTD.",2023,CDP,Japan,Food & Beverage,"3,348 tCO₂e",,https://nzdpu.com/companies/24490?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Bunka Shutter Co.,Ltd.",2023,CDP,Japan,Consumer Goods,"11,611.8 tCO₂e","11,023.26 tCO₂e",https://nzdpu.com/companies/21124?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Calbee Inc.,2023,CDP,Japan,Food & Beverage,,"53,868 tCO₂e",https://nzdpu.com/companies/15786?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Citizen Watch Co.,Ltd.",2023,CDP,Japan,Consumer Goods,"120,830 tCO₂e","103,532 tCO₂e",https://nzdpu.com/companies/14365?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
DAIKEN CORPORATION,2023,CDP,Japan,Consumer Goods,"117,289 tCO₂e","75,128 tCO₂e",https://nzdpu.com/companies/12114?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Descente Ltd,2023,CDP,Japan,Consumer Goods,,611 tCO₂e,https://nzdpu.com/companies/23448?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Dynic,2023,CDP,Japan,Consumer Goods,"13,489.768 tCO₂e","12,287 tCO₂e",https://nzdpu.com/companies/24305?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Fancl Corporation,2023,CDP,Japan,Consumer Goods,"8,343 tCO₂e",587 tCO₂e,https://nzdpu.com/companies/16038?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"FRANCE BED HOLDINGS CO.,LTD.",2023,CDP,Japan,Consumer Goods,,"2,686 tCO₂e",https://nzdpu.com/companies/21181?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
FUJI OIL HOLDINGS INC.,2023,CDP,Japan,Food & Beverage,"193,767 tCO₂e","182,414 tCO₂e",https://nzdpu.com/companies/12381?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
FUKUSHIMA GALILEI CO.LTD.,2023,CDP,Japan,Consumer Goods,"3,553 tCO₂e",,https://nzdpu.com/companies/21184?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
G-7 Holdings Inc,2023,CDP,Japan,Food & Beverage,"39,641.88 tCO₂e","34,731.76 tCO₂e",https://nzdpu.com/companies/21140?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"GLOBERIDE, Inc.",2023,CDP,Japan,Consumer Goods,"42,741 tCO₂e","43,020 tCO₂e",https://nzdpu.com/companies/24508?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
GSI Creos Corporation,2023,CDP,Japan,Consumer Goods,206 tCO₂e,188 tCO₂e,https://nzdpu.com/companies/24604?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
HAPPINET CORPORATION,2023,CDP,Japan,Consumer Goods,"1,297.93 tCO₂e","1,259.001 tCO₂e",https://nzdpu.com/companies/24511?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"HEIWADO CO.,LTD.",2023,CDP,Japan,Food & Beverage,"152,256.37 tCO₂e","133,790.96 tCO₂e",https://nzdpu.com/companies/23011?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
HIDAY HIDAKA Corp.,2023,CDP,Japan,Food & Beverage,"19,493 tCO₂e",,https://nzdpu.com/companies/24514?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
HOKUTO CORPORATION,2023,CDP,Japan,Food & Beverage,"109,630 tCO₂e","109,205 tCO₂e",https://nzdpu.com/companies/23015?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Isetan Mitsukoshi Holdings Ltd.,2023,CDP,Japan,Consumer Goods,"104,771.086 tCO₂e","94,475.339 tCO₂e",https://nzdpu.com/companies/12683?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Ito En, Ltd.",2023,CDP,Japan,Food & Beverage,"9,564 tCO₂e","8,731 tCO₂e",https://nzdpu.com/companies/12693?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Itoham Yonekyu Holdings,2023,CDP,Japan,Food & Beverage,"162,256 tCO₂e","160,313 tCO₂e",https://nzdpu.com/companies/18166?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"J-OIL MILLS, INC.",2023,CDP,Japan,Food & Beverage,"50,620 tCO₂e","27,540 tCO₂e",https://nzdpu.com/companies/23315?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"J. Front Retailing Co., Ltd.",2023,CDP,Japan,Consumer Goods,"146,810 tCO₂e","96,071 tCO₂e",https://nzdpu.com/companies/12698?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
