company_name,reporting_year,data_provider,jurisdiction,sics_sector,total_s3_emissions_ghg,total_s3_ghgp_c1_emissions_ghg,total_s3_ghgp_c2_emissions_ghg,total_s3_ghgp_c3_emissions_ghg,total_s3_ghgp_c4_emissions_ghg,total_s3_ghgp_c5_emissions_ghg,total_s3_ghgp_c6_emissions_ghg,total_s3_ghgp_c7_emissions_ghg,total_s3_ghgp_c8_emissions_ghg,total_s3_ghgp_c9_emissions_ghg,total_s3_ghgp_c10_emissions_ghg,total_s3_ghgp_c11_emissions_ghg,total_s3_ghgp_c12_emissions_ghg,total_s3_ghgp_c13_emissions_ghg,total_s3_ghgp_c14_emissions_ghg,total_s3_ghgp_c15_emissions_ghg,total_s3_ghgp_other_emissions_ghg,company_url
"Adastria Co., Ltd.",2023,CDP,Japan,Consumer Goods,"538,704.846 tCO₂e","455,226.746 tCO₂e","29,980.809 tCO₂e","6,993.05 tCO₂e","5,427.545 tCO₂e","1,152.768 tCO₂e",908.962 tCO₂e,"2,200.346 tCO₂e",,515.396 tCO₂e,,,"36,299.224 tCO₂e",,,,,https://nzdpu.com/companies/19415?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Aeon Co., Ltd.",2023,CDP,Japan,Consumer Goods,"6,781,662 tCO₂e","3,734,789 tCO₂e","1,300,329 tCO₂e","323,813 tCO₂e","214,172 tCO₂e","124,998 tCO₂e",61 tCO₂e,"49,011 tCO₂e",,,,"147,158 tCO₂e","76,083 tCO₂e","795,088 tCO₂e",,"16,160 tCO₂e",,https://nzdpu.com/companies/11558?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Ajinomoto Co., Inc.",2023,CDP,Japan,Food & Beverage,"10,492,309 tCO₂e","6,610,392 tCO₂e","219,172 tCO₂e","604,719 tCO₂e","1,037,133 tCO₂e","97,854 tCO₂e","4,446 tCO₂e","16,087 tCO₂e",,"2,535 tCO₂e","108,585 tCO₂e","1,386,049 tCO₂e","405,337 tCO₂e",,,,,https://nzdpu.com/companies/11590?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Askul Corporation,2023,CDP,Japan,Consumer Goods,"1,781,859 tCO₂e","1,260,007 tCO₂e","22,721 tCO₂e","4,850 tCO₂e","37,071 tCO₂e","1,501 tCO₂e",411 tCO₂e,"4,521 tCO₂e",,,,"298,200 tCO₂e","152,577 tCO₂e",,,,,https://nzdpu.com/companies/11709?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Bandai Namco Holdings Inc.,2023,CDP,Japan,Consumer Goods,"755,553 tCO₂e","515,051 tCO₂e","79,233 tCO₂e","5,598 tCO₂e","7,158 tCO₂e","2,339 tCO₂e",956 tCO₂e,"2,098 tCO₂e",,,,"11,695 tCO₂e","131,425 tCO₂e",,,,,https://nzdpu.com/companies/11776?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Bic Camera Inc,2023,CDP,Japan,Consumer Goods,"5,436,187 tCO₂e","1,848,512 tCO₂e","43,338 tCO₂e","7,460 tCO₂e","57,939 tCO₂e",388 tCO₂e,586 tCO₂e,"2,616 tCO₂e",,,,"3,467,083 tCO₂e","8,265 tCO₂e",,,,,https://nzdpu.com/companies/11827?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"BULL-DOG SAUCE CO.,LTD.",2023,CDP,Japan,Food & Beverage,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/24490?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Bunka Shutter Co.,Ltd.",2023,CDP,Japan,Consumer Goods,"881,686.139 tCO₂e","662,014.053 tCO₂e","15,527.192 tCO₂e","5,170.419 tCO₂e","76,198.989 tCO₂e","1,728.072 tCO₂e",825.733 tCO₂e,"9,613.96 tCO₂e",,,"81,304.217 tCO₂e","27,722.164 tCO₂e","1,581.34 tCO₂e",,,,,https://nzdpu.com/companies/21124?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Calbee Inc.,2023,CDP,Japan,Food & Beverage,"813,931 tCO₂e","449,141 tCO₂e","104,772 tCO₂e","50,550 tCO₂e","169,829 tCO₂e","3,465 tCO₂e",858 tCO₂e,"2,856 tCO₂e",553 tCO₂e,"18,766 tCO₂e",822 tCO₂e,,"12,319 tCO₂e",,,,,https://nzdpu.com/companies/15786?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Citizen Watch Co.,Ltd.",2023,CDP,Japan,Consumer Goods,"1,651,188.46 tCO₂e","943,977.88 tCO₂e","42,718.2 tCO₂e","20,678.04 tCO₂e","39,300.07 tCO₂e","3,132.37 tCO₂e","1,739.7 tCO₂e","5,451.73 tCO₂e",224.02 tCO₂e,"4,256.8 tCO₂e","16,265.44 tCO₂e","572,595.32 tCO₂e",848.89 tCO₂e,,,,,https://nzdpu.com/companies/14365?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
